City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,vilyuchinsk,52.9306,158.4028,-3.85,92,100,4.19,RU,1701280824
124,cururupu,-1.8283,-44.8683,28.88,70,73,2.66,BR,1701280825
125,turabah,21.2141,41.6331,23.77,21,0,5.8,SA,1701280826
126,'ali sabieh,11.1558,42.7125,21.96,68,46,4.83,DJ,1701280634
127,rakops,-21.0167,24.3333,33.08,20,75,0.54,BW,1701280827
128,al hawatah,13.4167,34.6333,31.7,23,24,3.69,SD,1701280827
129,talara,-4.5772,-81.2719,27.42,61,0,7.2,PE,1701280738
130,zwedru,6.0667,-8.1281,26.51,78,98,0.92,LR,1701280829
131,viedma,-40.8135,-62.9967,29.4,13,0,3.4,AR,1701280829
132,jaisalmer,26.9147,70.9181,20.8,50,1,2.32,IN,1701280831
133,horta,38.5333,-28.6333,17.8,84,40,9.77,PT,1701280833
134,scottburgh,-30.2867,30.7532,19.67,66,99,6.51,ZA,1701280834
135,hasaki,35.7333,140.8333,4.22,44,86,3.01,JP,1701280728
136,tokonou,9.65,-9.7833,24.51,68,97,1.58,GN,1701280837
137,antonio enes,-16.2325,39.9086,28.05,75,26,7.17,MZ,1701280739
138,balkanabat,39.5108,54.3671,10.24,50,99,6.85,TM,1701280839
139,hawaiian paradise park,19.5933,-154.9731,23.35,99,100,2.57,US,1701280450
140,hamilton,39.1834,-84.5333,6.78,53,31,4.92,US,1701280840
141,gharavuti,37.5672,68.4469,13.36,78,100,1.52,TJ,1701280841
142,sault ste. marie,46.5168,-84.3333,0.31,80,100,2.57,CA,1701280842
143,polyarnyy,69.1989,33.4478,-2.27,88,90,5.95,RU,1701280842
144,bridgewater,44.3835,-64.5155,2.79,65,65,7.72,CA,1701280619
145,betio village,1.358,172.9211,26.02,67,100,0.74,KI,1701280843
146,kawalu,-7.3817,108.2082,22.98,96,89,0.21,ID,1701280844
147,bilibino,68.0546,166.4372,-35.12,99,52,1.39,RU,1701280729
148,rondonopolis,-16.4708,-54.6356,36.87,28,85,4.15,BR,1701280813
149,invercargill,-46.4,168.35,8.9,86,100,2.24,NZ,1701280726
150,mount pearl,47.5166,-52.7813,3.31,93,100,3.6,CA,1701280588
151,port elizabeth,-33.918,25.5701,18.16,75,20,3.6,ZA,1701280846
152,afaahiti,-17.75,-149.2833,26.93,86,96,9.21,PF,1701280846
153,namsos,64.4662,11.4957,-0.97,86,0,1.03,NO,1701280846
154,kapuskasing,49.4169,-82.4331,-3.95,86,100,4.12,CA,1701280814
155,flying fish cove,-10.4217,105.6791,24.82,78,40,4.63,CX,1701280847
156,santa rosalia,27.3167,-112.2833,21.1,46,44,1.37,MX,1701280848
157,palikir - national government center,6.9248,158.1611,27.77,74,100,8.22,FM,1701280758
158,parun,35.4207,70.9221,-0.46,86,100,1.09,AF,1701280848
159,puerto colombia,10.9878,-74.9547,31.05,70,63,3.85,CO,1701280848
160,lazaro cardenas,17.9583,-102.2,29.25,66,89,2.16,MX,1701280766
161,cockermouth,54.6621,-3.3609,1.45,88,61,0.89,GB,1701280849
162,vilyuysk,63.7553,121.6247,-11.6,91,100,5.37,RU,1701280849
163,east london,-33.0153,27.9116,19.52,63,20,2.57,ZA,1701280716
164,magadan,59.5667,150.8,-13.87,87,80,2.33,RU,1701280850
165,chamzinka,54.4019,45.7839,-7.31,91,50,3.68,RU,1701280850
166,kenai,60.5544,-151.2583,2.3,92,75,7.11,US,1701280851
167,longyearbyen,78.2186,15.6401,-1.09,80,100,5.66,SJ,1701280739
168,suva,-18.1416,178.4415,24.71,94,75,2.06,FJ,1701280851
169,yaren,-0.5472,166.916,27.99,77,100,3.92,NR,1701280852
170,anover de tajo,39.9757,-3.765,14.16,82,87,5.93,ES,1701280852
171,gulf breeze,30.3571,-87.1639,14.73,41,75,2.06,US,1701280853
172,tazovsky,67.4667,78.7,-13.98,93,100,3.72,RU,1701280853
173,tazacorte,28.629,-17.9293,21.54,78,40,8.23,ES,1701280853
174,luziania,-16.2525,-47.9503,24.83,39,97,1.35,BR,1701280767
175,praia da vitoria,38.7333,-27.0667,17.14,94,75,13.04,PT,1701280854
176,sig,35.5283,-0.1937,20.89,47,29,0.87,DZ,1701280854
177,ulanhot,46.0833,122.0833,-15.25,74,1,4.24,CN,1701280854
178,villa hidalgo,21.6667,-102.6,19.97,48,73,2.62,MX,1701280855
179,nieuw amsterdam,5.8833,-55.0833,33.01,52,20,2.57,SR,1701280855
180,luderitz,-26.6481,15.1594,19.87,60,0,8.04,NA,1701280710
181,bodo,67.28,14.405,-2.9,69,0,8.23,NO,1701280856
182,alofi,-19.0595,-169.9187,23.94,94,12,2.06,NU,1701280719
183,tajiri,34.4043,135.278,13.02,71,75,5.14,JP,1701280856
184,usinsk,65.9939,57.5281,-10.52,93,99,1.34,RU,1701280856
